#Drug	Gene
DB04855	P08684
DB04655	P50135
DB00829	P78334
DB01095	P08684
DB00531	P24462
DB00142	P48058
DB01242	P33261
DB07470	Q7Z406
DB08082	P27338
DB00428	P05177
DB00098	P31994
DB08918	P10632
DB00134	Q9UJ68
DB00074	P14784
DB06623	P08913
DB07876	P61925
DB03814	P09417
DB00408	P50406
DB05492	P28335
DB06262	P13945
DB00142	O60391
DB04958	P20273
DB06756	O43272
DB00483	P08172
DB00673	P24462
DB00009	P00747
DB04147	P01764
DB00767	P08912
DB00949	P08684
DB04474	P31151
DB07164	P24941
DB08174	P00742
DB06800	P41145
DB08635	P01768
DB08482	P03956
DB07484	P15085
DB01213	P05181
DB07179	P24941
DB01189	P34903
DB02866	P00918
DB07778	P22695
DB00246	P50406
DB04678	P16442
DB08896	P04629
DB00321	O43526
DB06987	P02788
DB00544	Q16831
DB06148	P05177
DB00216	P23219
DB07763	P47985
DB05335	P35354
DB04827	Q06278
DB00226	P23975
DB03033	P45452
DB07712	Q15596
DB06757	P21399
DB02427	P00374
DB01045	P33261
DB01411	P11712
DB00082	P10912
DB00321	P08173
DB06774	P21397
DB06894	O00519
DB00358	P08684
DB01296	Q00653
DB01161	Q8TCU5
DB04491	P27487
DB06702	P10635
DB00013	P05154
DB00623	P10635
DB07524	P11309
DB00805	P22303
DB00594	P78348
DB00675	Q15125
DB04315	P41091
DB01218	Q12809
DB00921	P24462
DB00418	Q13002
DB00943	Q9HB55
DB00945	P35354
DB07954	Q08499
DB08818	Q07021
DB05232	P35498
DB00808	P15382
DB00466	P04798
DB00408	P08908
DB03309	O00204
DB00398	P15056
DB01694	Q9P2W7
DB06151	Q9UPY5
DB07648	O14757
DB02230	P00491
DB08901	P35968
DB06712	P54289
DB07486	P20701
DB01962	P10721
DB05487	Q00653
DB06770	P20813
DB00458	P24462
DB01863	Q06187
DB03788	P10828
DB00811	P49902
DB00174	Q99624
DB08771	P28845
DB00901	P07550
DB00199	Q16850
DB00421	Q9NY47
DB02153	P00390
DB07382	O75460
DB00413	P08908
DB00734	P35462
DB01535	P41143
DB00246	P35368
DB07947	P31751
DB00505	P20309
DB00349	P08684
DB01388	O60840
DB06080	P10721
DB00347	P05181
DB06741	O15399
DB00234	P10635
DB00268	P08684
DB00174	Q7L266
DB00273	P00918
DB01031	P00918
DB01863	Q99418
DB03419	Q9NWZ5
DB01045	Q16850
DB00228	Q8N1C3
DB00806	P30542
DB00133	P35520
DB02077	P29475
DB01223	Q14432
DB08838	P18825
DB00540	O00264
DB00290	P18858
DB06144	P10635
DB01183	P16220
DB09029	Q16552
DB03709	P00747
DB00852	P08913
DB02491	P21802
DB00334	P08908
DB01087	P05177
DB03086	P50579
DB09080	P10632
DB00909	Q06278
DB00477	P50406
DB06663	P30874
DB01595	P18507
DB03397	P26572
DB00142	Q5TDP6
DB00481	Q06278
DB00508	P41595
DB01097	Q14289
DB01452	P35372
DB03980	Q16539
DB03588	P07858
DB00273	P28472
DB03876	P07477
DB02952	P06850
DB04272	P07360
DB08143	P00742
DB00128	P07998
DB01173	Q05586
DB00390	P08684
DB01544	P05181
DB01148	P08172
DB00531	P11509
DB00785	P08912
DB02758	Q9NZK7
DB01217	P05177
DB01403	P08172
DB01427	P01375
DB07763	P00156
DB07078	O14757
DB00523	P13631
DB04903	P34903
DB08699	Q13555
DB00157	P03897
DB00421	P54289
DB00336	P10635
DB00363	P28223
DB00131	P07741
DB01863	Q9UN19
DB08756	P61925
DB00835	P20813
DB00714	P18825
DB00188	P08684
DB03963	P29474
DB04669	P24941
DB01128	P10635
DB00607	P08684
DB03929	Q05586
DB07039	P10275
DB00268	P21917
DB00774	P00915
DB02027	P29474
DB00909	Q9Y2D0
DB00432	P04183
DB08054	P12931
DB08915	P37231
DB00163	P67775
DB01110	P05181
DB01016	P11712
DB01104	P27338
DB08593	P18031
DB01708	O14764
DB07480	P18031
DB01392	P08913
DB05831	P16422
DB01356	P42263
DB02552	O95749
DB00880	P00918
DB00801	P24046
DB02338	Q12882
DB01064	Q92569
DB00370	P28223
DB03476	P00749
DB09080	P11712
DB00252	P11712
DB01011	P05181
DB00543	P21728
DB00783	O75469
DB01396	P05108
DB04761	P45452
DB03704	P11766
DB07025	O14757
DB00514	P19878
DB08007	Q9UNI1
DB01205	P78334
DB00625	P20813
DB06804	P35354
DB08911	P10632
DB07681	P06276
DB00848	P32297
DB07715	P68400
DB00700	P20815
DB07164	P20248
DB00115	Q9UBK8
DB00313	Q02218
DB00822	P08684
DB01008	Q99735
DB02020	P15121
DB02998	Q15596
DB01359	P07550
DB08689	P31040
DB04224	Q9NZD2
DB05013	Q05655
DB09016	P31645
DB00252	P35498
DB00543	P10635
DB00829	P14867
DB00228	P18505
DB01392	P18825
DB06832	Q15788
DB00300	P15531
DB08893	P13945
DB00655	P20813
DB01354	P36544
DB08915	Q07869
DB07009	Q92731
DB01054	P54289
DB01406	P30968
DB00784	P10632
DB09054	P08684
DB07506	P15085
DB01089	Q05940
DB06209	P20813
DB00866	P08908
DB01623	P21728
DB04395	P23919
DB00260	P20711
DB00142	O14841
DB00863	P33261
DB03132	P60174
DB00568	O60840
DB01039	P11712
DB06209	Q9H244
DB08363	P04637
DB01812	O00204
DB07764	P01857
DB00856	P08684
DB04464	P00395
DB00546	O14764
DB08342	O75865
DB06176	P04798
DB04896	O60391
DB00829	P23219
DB00241	P43681
DB07768	Q04828
DB08092	Q16539
DB01544	P22309
DB01107	P31644
DB01045	P11712
DB07015	P27487
DB01381	P47870
DB08387	Q9Y233
DB00482	P11712
DB04510	P15259
DB04957	P04798
DB00108	P00736
DB00255	P08684
DB00277	P10632
DB00196	P33261
DB02646	P02144
DB00051	P01375
DB01136	P25100
DB01612	P05091
DB01393	P04798
DB07800	P00742
DB06991	Q16539
DB04141	P47985
DB05492	P25100
DB01253	P08684
DB01136	P05177
DB00515	P30711
DB00342	Q12809
DB07341	P16442
DB00628	P78334
DB00736	P20648
DB06262	P35348
DB00669	P21397
DB00608	Q9NR96
DB00726	P18089
DB00625	P10635
DB00997	O75251
DB00571	P08588
DB00805	P21728
DB04432	P07477
DB00446	P08174
DB06912	P61626
DB00119	O15375
DB00655	P05177
DB00909	O43497
DB00688	P19224
DB00277	O76074
DB02379	P06737
DB01097	P05177
DB08822	P30556
DB00114	P35520
DB00458	P31645
DB01041	P23219
DB00371	Q99928
DB00158	P14207
DB03042	P06744
DB00316	P49888
DB00829	P24046
DB00172	P07814
DB08178	P20248
DB00072	P00533
DB00041	P01589
DB00490	P08908
DB01195	P11712
DB01034	P49327
DB03924	P68400
DB02196	Q9UBQ6
DB00203	P04798
DB08836	P12821
DB01007	P11712
DB00544	O95045
DB01398	P23219
DB01015	P08684
DB04753	P00491
DB07672	P01857
DB07368	P07477
DB05198	O14965
DB00169	P05108
DB07204	P17612
DB08881	P15056
DB00543	P35367
DB00755	Q02928
DB01161	Q9Y5Y9
DB04272	P62312
DB00706	P10635
DB08162	P61925
DB00306	Q16445
DB01128	P33261
DB02726	P30613
DB08330	P00156
DB00402	P31644
DB09280	P13569
DB01613	P16066
DB03777	O15530
DB00139	Q8IVL6
DB01942	P09601
DB00780	P10632
DB08371	P54577
DB07515	P00734
DB04841	O43497
DB02719	P11217
DB07888	P14174
DB01049	P34969
DB05343	P04271
DB06144	P08684
DB08846	P68400
DB00108	P13612
DB03612	Q16836
DB01535	P35372
DB01873	P07437
DB03944	P63316
DB03305	P29474
DB01618	P08908
DB00608	P09210
DB01356	P49841
DB00812	P23219
DB00568	P08173
DB05360	P30542
DB00907	Q01959
DB06204	P46098
DB00312	P31644
DB00829	P48169
DB00624	P11712
DB01195	P10635
DB06207	P35368
DB00988	P08908
DB04464	P03989
DB05773	P20815
DB01367	P10415
DB00637	P51589
DB00296	P20813
DB09303	Q8NBP7
DB01181	P10632
DB01589	P18507
DB00054	P02745
DB00509	P10828
DB06843	P63092
DB01588	Q8N1C3
DB01151	P08684
DB00232	Q13621
DB07664	P49761
DB01050	P06133
DB01015	P10632
DB05299	P60568
DB01015	P11245
DB06741	P22309
DB07957	Q9UNI1
DB00157	Q86Y39
DB00669	P28221
DB01672	P80188
DB07261	P00742
DB01115	Q01668
DB01016	Q15842
DB00201	Q9HCR9
DB01717	Q96MA6
DB00449	P35348
DB01087	Q16678
DB08547	P01859
DB03796	P00709
DB00418	P10632
DB09076	P08172
DB00519	P12821
DB00382	P05177
DB00203	P08684
DB00292	P19099
DB01224	P08913
DB04518	P24941
DB03448	P34096
DB01622	P28223
DB02671	P02144
DB06986	P11217
DB00131	Q9NR19
DB08562	P01857
DB04367	P49759
DB04522	P13569
DB08889	P20618
DB02925	Q13621
DB01013	P05177
DB06738	P41143
DB01388	O95180
DB00087	P02747
DB08875	P08581
DB07002	P35228
DB03006	P61626
DB01454	P28223
DB00259	P05181
DB01221	P20813
DB00038	Q14626
DB01058	P10635
DB00715	P11229
DB08348	P13639
DB01611	Q9NYK1
DB01291	P08588
DB00776	P20815
DB00333	P33260
DB00949	Q13224
DB04315	Q96KC2
DB01454	P28335
DB07092	P27487
DB07333	P35968
DB02059	Q9NXA8
DB01213	P00325
DB00738	P08684
DB01380	P04150
DB00783	P11712
DB02420	P18031
DB07662	P12931
DB05487	P19838
DB00353	P08684
DB04868	P00519
DB00497	P19652
DB01394	P11712
DB04137	P16118
DB00114	Q8IUZ5
DB00009	Q03405
DB01215	P24046
DB02153	P51003
DB03747	P07686
DB00126	Q9GZT9
DB01351	P43681
DB01110	Q9UGI6
DB01708	Q16445
DB07978	Q02127
DB05294	Q01740
DB05790	P25103
DB00758	P20815
DB00543	P14416
DB00751	P28223
DB00788	P05177
DB05254	P00749
DB06820	P05177
DB07556	P39900
DB02735	P08842
DB00703	P11712
DB00700	P19099
DB07697	P14618
DB00142	P17735
DB01236	P98194
DB02494	P15085
DB00242	Q07864
DB02193	P00749
DB02328	P32929
DB00818	Q16445
DB00842	P54855
DB07251	P54760
DB08484	P09467
DB00356	P04798
DB00071	P16519
DB02987	P00973
DB08011	P53779
DB05042	P50406
DB04839	P10275
DB08033	P52732
DB00126	Q9H6Z9
DB00428	P04798
DB05506	P18031
DB01030	Q969P6
DB05875	P11511
DB00237	P36544
DB00656	P24462
DB00614	P21397
DB00962	P20815
DB02594	P27707
DB01029	P05412
DB06201	Q15858
DB09068	P46098
DB06738	P11712
DB00171	Q08828
DB04677	P27338
DB03461	Q04828
DB06210	P10632
DB00002	P12314
DB08696	P11473
DB01404	P35869
DB02772	O00244
DB09302	Q8NBP7
DB01166	P05177
DB00312	O14764
DB06626	P35916
DB00421	Q02641
DB00590	P10635
DB06701	P23975
DB00589	P10635
DB00951	P05177
DB04287	P14555
DB07263	P18031
DB05812	P10632
DB00850	P14416
DB00605	P27361
DB04701	P28161
DB05187	Q07869
DB08877	O60674
DB01589	Q8N1C3
DB02073	P02144
DB02393	P16118
DB00633	P05177
DB01259	P00533
DB03600	Q9NZD2
DB00417	P46059
DB08374	P17538
DB00431	P23415
DB08273	P01744
DB00396	Q16678
DB04680	P16442
DB05159	P41597
DB00925	P18825
DB00189	O14764
DB00125	P35228
DB00189	P47869
DB08818	P98066
DB00963	P23219
DB08813	P01100
DB01591	P11229
DB00120	Q9Y285
DB01274	P10635
DB00835	P35367
DB02485	Q8NFW8
DB01274	P11509
DB06626	P22309
DB08059	P27986
DB02195	Q16539
DB01373	Q01082
DB01236	P03886
DB01234	P35228
DB01274	P07550
DB02116	P28482
DB02556	Q16773
DB09073	Q00534
DB07544	P54687
DB00081	P08637
DB01303	P30542
DB00142	Q05932
DB01109	P16109
DB00514	P31645
DB01355	P14867
DB00142	Q6IA69
DB00318	P06133
DB00833	P05164
DB01699	P80404
DB00055	P02776
DB02986	P00918
DB00590	Q12809
DB01303	Q92769
DB01114	P23975
DB06822	O75173
DB00490	P08684
DB01191	P11509
DB02379	O60264
DB03987	P00374
DB00370	Q01959
DB00120	P17735
DB00167	P41252
DB00493	P02768
DB03608	P07477
DB01780	P62258
DB00668	P08684
DB08912	P10632
DB02482	Q04759
DB08708	P11309
DB02585	P35030
DB05447	P41235
DB00074	P02745
DB00201	P24462
DB00450	P14416
DB00464	P04070
DB00628	P34903
DB01367	P27338
DB03796	O76054
DB01931	Q05586
DB00363	Q9NYX4
DB09080	P07550
DB00831	P62158
DB00220	P08684
DB00749	Q9HAW8
DB07862	Q86XF0
DB01079	P28335
DB00378	P06401
DB00755	P11712
DB07310	P28845
DB00071	Q96C24
DB00909	Q9NY46
DB00025	P04275
DB07623	P11509
DB00898	Q02641
DB05255	P41180
DB08009	Q96NX5
DB00398	P07949
DB00652	Q99720
DB01399	P23219
DB04771	P00734
DB00622	Q13936
DB00678	P30556
DB09068	P10635
DB07347	P21281
DB00312	O00591
DB00856	P35354
DB00412	P05177
DB02076	P52209
DB00041	P47989
DB00255	P62508
DB00169	Q6VVX0
DB05202	P04275
DB00786	Q9H239
DB05153	P08581
DB00661	P20815
DB07940	P06276
DB00116	O75891
DB00814	P11712
DB00463	O14764
DB01558	P18505
DB00170	P16083
DB06655	P08473
DB05201	P21554
DB01278	O60896
DB04014	Q00535
DB08094	P24941
DB00186	Q9UN88
DB06777	Q02318
DB08406	P00374
DB04468	P03372
DB01942	P14621
DB01983	P05089
DB02376	P09848
DB07060	Q9UJM8
DB01234	P04083
DB02789	O00204
DB05260	P02818
DB00292	P34903
DB07075	O14757
DB08878	P00374
DB01536	P14061
DB04942	P10826
DB02715	P03372
DB00064	P02649
DB08341	Q14289
DB00321	P28222
DB00835	P10635
DB00146	Q07973
DB00905	P34995
DB00335	P08588
DB05740	P43681
DB00669	P28222
DB00188	P05177
DB02448	P14555
DB00970	P11388
DB07614	O60760
DB07981	P23219
DB00210	P10276
DB00537	P24462
DB04841	Q9P0X4
DB01567	P31644
DB00398	P22309
DB01256	P08684
DB00002	P00736
DB05882	P03372
DB02445	P46926
DB02838	P14920
DB01048	P55263
DB00402	P10632
DB00986	P08172
DB01238	P21917
DB04147	P23528
DB00098	P06126
DB00186	P28472
DB00227	Q15166
DB00418	O15399
DB00215	P20813
DB00668	P13945
DB00404	P18507
DB04315	Q7Z2Z2
DB08155	P00918
DB08023	P53779
DB01354	P31644
DB02315	P10644
DB03147	Q96RQ9
DB02689	P05089
DB00055	P00450
DB01439	P41145
DB00726	P20309
DB05708	P05181
DB00738	P20815
DB01201	P10632
DB07244	P29474
DB00727	P05091
DB01622	P08908
DB00418	P05177
DB00449	P07550
DB09280	P10632
DB04593	P08709
DB06850	P00734
DB01576	P35368
DB01437	P78334
DB03216	P23526
DB08362	P68400
DB02751	Q14353
DB04315	P40616
DB00129	Q8WY07
DB00228	Q16445
DB00363	P21917
DB00527	Q9Y5Y9
DB00195	P08588
DB00751	P34969
DB04315	P01112
DB07615	O60760
DB08912	P57059
DB01073	P27707
DB00091	Q96LZ3
DB00694	P47989
DB00257	P24462
DB00753	P30049
DB00317	P10635
DB00502	P04798
DB01645	Q15596
DB03310	P00390
DB08751	P01112
DB03233	P23919
DB01107	P10635
DB03461	P22570
DB00111	P02745
DB00363	P08173
DB03621	P62942
DB07096	P09874
DB01437	Q16445
DB07594	P08238
DB00092	P00736
DB08156	P00915
DB00132	P32418
DB04172	P00749
DB00339	P08684
DB01211	P20815
DB01544	P05177
DB00237	Q8N1C3
DB00939	P35354
DB00418	Q12879
DB01183	P08684
DB00366	P11229
DB00139	Q8IVL5
DB04889	P31645
DB09046	P48357
DB06694	P18825
DB01073	P09884
DB00157	P00352
DB06751	P27815
DB00413	P28223
DB01045	O94956
DB01520	O15399
DB01954	Q07343
DB00134	Q9UBK8
DB07636	P47985
DB00213	P05177
DB00603	P06401
DB00969	P05181
DB03899	P07900
DB00619	P10635
DB04312	P00326
DB00988	P31645
DB01812	P52848
DB04723	P15086
DB00051	P00736
DB08709	P11309
DB00372	P21917
DB05241	P42336
DB00055	P05154
DB00259	P33261
DB03428	P06493
DB07443	Q02127
DB01049	P25100
DB00280	Q9UK17
DB07655	O14757
DB02342	Q16665
DB02010	P43405
DB00619	P10721
DB00921	P41143
DB00814	P35354
DB00371	P05181
DB00363	P08908
DB00157	P52895
DB01028	P03886
DB00774	P00918
DB05812	P05177
DB00696	P23975
DB00228	P28472
DB00831	P26447
DB04409	P05230
DB06695	P16662
DB08219	P20248
DB08918	P10635
DB00568	P21728
DB01437	O14764
DB00934	P35368
DB03832	Q9UKG9
DB01388	P24462
DB01151	P08908
DB02966	P42262
DB01425	P14416
DB00637	P10635
DB01023	P24462
DB01694	Q9NWT6
DB06908	P37231
DB08896	P10632
DB00157	Q9UDR5
DB01088	P27815
DB01076	P10635
DB00619	P08684
DB03964	Q99798
DB07489	Q9Y6M4
DB08772	O60218
DB00893	P02794
DB00800	P21728
DB00078	P12314
DB03559	P08319
DB00688	Q9HAW9
DB05304	Q16790
DB00186	P18505
DB02900	P20645
DB00250	P33260
DB08235	O15143
DB00563	P42898
DB00693	P04798
DB00904	P05177
DB01196	Q92731
DB01567	O14764
DB02337	Q93088
DB07917	O60760
DB00925	P35368
DB02973	P24941
DB00126	Q8IVL6
DB03058	P00746
DB06077	P14416
DB00801	P28476
DB00316	Q06520
DB00514	P41143
DB00921	P10632
DB00149	Q9P2J5
DB00316	P11509
DB01548	P41143
DB00977	P10632
DB07076	P00749
DB01708	P48169
DB01132	P10635
DB00128	Q8N142
DB01941	P28702
DB03082	P00749
DB01355	P23219
DB01186	P28335
DB09128	P18825
DB01026	P10635
DB03245	Q92947
DB00134	P42898
DB04661	P15813
DB04395	P53355
DB01069	P08173
DB09078	P21802
DB01229	Q16678
DB04141	Q9UDW1
DB01224	P20815
DB08660	P68400
DB00074	P08637
DB00896	P04150
DB01095	P10632
DB01103	Q15111
DB04991	O14672
DB05466	P25103
DB00836	P10632
DB00683	P31644
DB00463	P18505
DB01142	P10635
DB01306	P05177
DB00468	P10635
DB05483	P08048
DB02072	P18031
DB00514	P23975
DB06848	Q15661
DB01559	P47870
DB01036	P08172
DB05740	P17787
DB00203	P24462
DB02379	Q9BZZ2
DB00242	P31350
DB01750	P63208
DB01075	P05177
DB05065	P27487
DB00426	Q06278
DB00661	P05177
DB00388	P25100
DB03127	P00749
DB06702	P08173
DB06870	P10275
DB00248	P18825
DB01148	P11229
DB00712	P11712
DB01406	P11511
DB05337	P48060
DB03657	P11217
DB07403	Q15118
DB00543	P28222
DB03393	P62937
DB03187	P23434
DB01101	P19971
DB01588	P48169
DB00246	P28222
DB00603	P10632
DB01075	P33260
DB05017	P05231
DB01483	P48169
DB03837	P25774
DB00683	Q8N1C3
DB01206	P10635
DB00401	Q08289
DB00964	P18089
DB00369	P19971
DB07131	P00734
DB00277	P11712
DB01618	P28223
DB02211	P27338
DB00220	P33261
DB01023	Q08289
DB00476	P31645
DB07088	P00734
DB00945	P19838
DB00134	Q93088
DB07128	P00734
DB00338	P10632
DB01074	P23786
DB04258	P11473
DB00998	P28222
DB00185	P08684
DB00907	P10632
DB03491	P15531
DB00875	P35348
DB01191	P05177
DB00176	P24462
DB00297	P34995
DB07567	P03372
DB00186	P47870
DB00667	P50135
DB00690	P24046
DB07900	P22894
DB00157	P30038
DB00320	P08913
DB07189	P78536
DB00668	P01375
DB00120	Q9NSD9
DB00714	Q9NYX4
DB06042	Q9H4B7
DB00246	P24462
DB00313	Q01118
DB00398	P35968
DB00540	P08172
DB01233	Q13639
DB01353	P31644
DB01355	P48169
DB08788	P07900
DB00672	Q09428
DB07469	Q7Z406
DB00753	P42261
DB01131	P33261
DB04436	P04179
DB05147	Q9H853
DB01601	P10635
DB01098	P33261
DB04326	P60174
DB07232	Q9UGN5
DB07204	P61925
DB00157	Q02218
DB04601	P00918
DB00398	P04049
DB04126	P09668
DB00918	P28221
DB00718	P27144
DB00208	Q9H244
DB00316	P04798
DB00276	P10635
DB01184	P08684
DB01752	Q9H2P9
DB03865	P00734
DB01240	P11712
DB02010	Q08881
DB01355	P11712
DB01805	P07478
DB02494	P62913
DB03604	P10828
DB00851	Q14181
DB00370	P08588
DB00074	P12318
DB00926	P19793
DB08868	P08684
DB04141	O14521
DB00207	Q9UM07
DB01151	P23975
DB04837	P35367
DB01049	O14764
DB03740	Q9Y286
DB00201	P51160
DB00029	Q03405
DB00217	P48048
DB00759	P08684
DB00312	P34903
DB01059	P11509
DB00860	P11509
DB03010	P04350
DB05879	P01375
DB01277	P11717
DB04937	O14746
DB01186	P35462
DB00292	P78334
DB00292	P47869
DB00381	P00915
DB00222	Q14654
DB00455	P10635
DB01353	P34903
DB05232	Q99250
DB00166	Q9Y234
DB01752	Q14749
DB01159	P05181
DB02987	P07998
DB05890	P15692
DB08599	P39900
DB00499	P10275
DB02342	P11511
DB03974	P29474
DB00628	P18507
DB00829	P33261
DB06962	P20231
DB00721	O15554
DB07013	P45452
DB08073	P61925
DB08910	P05177
DB00087	P12318
DB00523	P48443
DB01142	P50406
DB00818	P48169
DB05369	P25021
DB00870	P11712
DB01029	P08684
DB08022	P11309
DB00631	P23921
DB01351	P34903
DB01590	P08684
DB00234	P08684
DB01621	P08908
DB06589	P10632
DB03516	Q12882
DB05408	P29466
DB04077	O60760
DB04077	P09466
DB04395	P48637
DB06626	P17948
DB00143	Q16873
DB00812	P08684
DB00692	P35348
DB00312	P36544
DB00495	P33261
DB00852	P18847
DB06262	P18089
DB00142	O15399
DB01200	P35462
DB02721	P00326
DB00344	P10635
DB00818	P19224
DB01236	P48169
DB00477	P41595
DB05460	P09211
DB06103	P20839
DB01029	P05177
DB02098	P10153
DB00604	P24462
DB06813	P00374
DB08134	P24941
DB00786	P09238
DB03461	P00374
DB01363	P31645
DB00594	Q16515
DB00197	P11712
DB00150	P14902
DB02126	P69905
DB00920	Q9NP56
DB00842	P28476
DB02840	P07900
DB01394	P10632
DB08873	P20815
DB06817	P22309
DB02733	P78362
DB00624	P05108
DB00549	P33261
DB00752	P05181
DB01100	P10635
DB01174	Q13002
DB00313	P80404
DB04540	P35398
DB07549	P00734
DB07702	Q92731
DB00142	P54687
DB00909	P00918
DB00924	P10635
DB05446	P02749
DB05744	P01375
DB06292	P05177
DB01254	P51692
DB00151	P48637
DB00321	P08588
DB00705	P10635
DB01752	P22061
DB00073	P31994
DB04447	P04035
DB02621	P68133
DB05014	P11362
DB01049	P08684
DB01622	P35368
DB01435	P10635
DB05895	O14763
DB08294	P01744
DB08896	Q15759
DB01496	P36544
DB00907	Q9Y5Y9
DB00951	P08684
DB05010	O75899
DB00158	P41439
DB08465	P14625
DB00297	Q9Y5Y9
DB00918	P28222
DB11362	P08684
DB03461	O60218
DB00900	P00491
DB00497	P41143
DB01236	Q09470
DB04841	P10635
DB00950	P10635
DB00268	P28222
DB06729	P10632
DB02638	P37288
DB08864	P33261
DB00801	P47869
DB00108	O75015
DB00579	P23975
DB00424	P08173
DB00173	P07741
DB00907	P10635
DB01483	Q16445
DB04953	P22309
DB05876	P27815
DB08901	P07948
DB01174	P33260
DB00321	P20813
DB01167	P08684
DB01970	Q13370
DB03035	P68400
DB04787	P06401
DB04946	P18825
DB07638	Q92731
DB00741	P24462
DB01221	P28221
DB01236	O00591
DB08329	P00918
DB00041	P05181
DB00619	P33261
DB07073	P48736
DB07181	P27487
DB00956	P41143
DB00071	P07339
DB00763	P33261
DB00800	P21918
DB06774	P06276
DB00252	P33260
DB00546	P78334
DB00273	P18507
DB00138	O60931
DB00738	O14717
DB06144	P50406
DB06697	P20815
DB01327	P51580
DB01174	P11712
DB08894	P19235
DB06589	P10721
DB06290	P05177
DB02837	P11226
DB00661	P10635
DB00822	P11712
DB08690	P31930
DB02994	P15121
DB00458	Q9UK17
DB03822	P06276
DB00540	P14416
DB00315	P28222
DB00171	P42684
DB07802	P68400
DB00268	P10635
DB00958	P05164
DB01156	P05177
DB01252	Q09428
DB00898	Q13698
DB01045	P20815
DB00408	P28335
DB04590	P08709
DB00726	P08684
DB05403	P53778
DB00937	P23975
DB07913	Q9UBX1
DB01173	P05181
DB05708	P36544
DB00119	P11498
DB00367	P10275
DB01117	Q02127
DB04941	P13569
DB08183	O60674
DB06292	P31639
DB00945	P25963
DB00852	P31645
DB02282	Q13126
DB02383	P14550
DB08218	P20248
DB04725	P09917
DB00745	P20813
DB03696	P48449
DB08231	P63098
DB00170	P00740
DB05657	Q92847
DB01234	P05093
DB00162	P10745
DB06080	P36888
DB00149	Q15031
DB00336	P47989
DB04044	P11217
DB06603	Q8WUI4
DB08536	P24941
DB01472	P10635
DB04879	P35916
DB05386	P15509
DB00179	P09917
DB05341	P05155
DB01296	P01375
DB01544	P47869
DB00731	P08684
DB08312	P24941
DB00715	P08912
DB00448	Q02928
DB00129	P78540
DB00966	P30556
DB01399	P35354
DB00807	Q9Y5Y9
DB05147	Q9BUF5
DB08816	Q9H244
DB00886	P12821
DB03461	P15121
DB01186	P21918
DB06674	P01375
DB00130	Q6IA69
DB08187	P00734
DB02659	P23141
DB00945	Q9UGJ0
DB00402	P47869
DB06887	P18031
DB00589	P35462
DB00622	P10635
DB00313	P20815
DB00589	P08913
DB03516	P47989
DB07790	P24941
DB06144	P25100
DB00039	P11362
DB00821	P35354
DB05239	P20815
DB06741	P06133
DB08182	P24941
DB03783	P10635
DB01442	P21397
DB02607	P15531
DB00780	P24462
DB00238	P11712
DB05505	P24557
DB00104	P30872
DB07242	O43293
DB00054	P31994
DB01016	P48544
DB01472	P21397
DB01115	Q13698
DB00289	P23975
DB01234	P11509
DB06061	Q13233
DB06201	P41594
DB01708	P18507
DB03690	Q00169
DB01065	P46597
DB00134	P50579
DB03971	P04746
DB04964	Q8WXI7
DB00110	P31994
DB06207	P16662
DB04982	P42263
DB00030	P06213
DB00969	P11712
DB00616	P08473
DB00665	P11712
DB01153	Q16850
DB00277	Q16678
DB01201	P10635
DB00110	P31995
DB00608	P10632
DB00702	P04746
DB06412	P21397
DB03461	P30043
DB02318	Q16706
DB00527	Q14524
DB01844	Q9UNI1
DB00697	P18089
DB01396	P08684
DB06626	P08684
DB00163	P05771
DB01236	P18505
DB07941	Q16539
DB00306	P28472
DB01114	P31645
DB00543	P14867
DB00091	P08684
DB00829	Q16445
DB01032	P11712
DB04799	P47985
DB02351	P00734
DB01942	P29475
DB08584	P08581
DB00675	P05771
DB00599	P42262
DB01268	P36888
DB00312	Q8TCU5
DB00515	P09488
DB01118	P10635
DB01232	P10632
DB01488	P50406
DB08351	Q16539
DB00837	P14867
DB00145	P13196
DB01267	P08908
DB04685	P33316
DB04689	P37231
DB04967	P27695
DB00157	O60701
DB00603	P11712
DB03147	Q12882
DB03461	P35270
DB00110	P12318
DB00028	P01024
DB00673	P08684
DB05521	P08684
DB08838	Q9Y2I1
DB02109	Q8N142
DB04841	P11509
DB01406	Q96P88
DB00377	P46098
DB00619	Q08345
DB01355	P42262
DB00295	P41145
DB07893	P01834
DB01205	P48169
DB00028	Q92637
DB04336	P07477
DB04642	P11217
DB07209	P37231
DB01211	P24462
DB00357	P11511
DB00042	Q8N9I0
DB00157	Q13630
DB07502	P07900
DB01021	P51580
DB01068	P48169
DB00996	O15399
DB02860	P36873
DB04077	P05181
DB00536	Q14353
DB00737	P35367
DB00318	P16662
DB01403	P14416
DB01169	P24385
DB00130	Q06203
DB06594	P48039
DB00424	P20309
DB07488	Q9Y6M4
DB04618	P04746
DB01054	Q9NY47
DB00092	P06729
DB00371	P18505
DB01226	Q15822
DB00475	Q8N1C3
DB02482	P28482
DB00082	P08684
DB00714	P14416
DB00768	P80511
DB06262	P08588
DB02347	P42262
DB00801	P14867
DB02299	P22459
DB04790	P07477
DB00540	P33261
DB00364	P02679
DB00624	Q16678
DB00119	P14618
DB01142	P08173
DB03144	P29474
DB03461	Q6UWP2
DB00242	Q9NR33
DB01352	P42262
DB00112	P12318
DB00865	P08913
